node_left,connection,node_right,reference,notes
Richard V Spencer,leadership team,Global Atlantic Financial Group,https://www.globalatlantic.com/meet-global-atlantic/leadership,.
Global Atlantic Financial Group,sponsors,deep-sea research,https://bios.asu.edu/currents/global-atlantic-financial-group-leads-funding-to-support-deep-sea-research-and-education-efforts-at-bios/,.
Irongate Capital Advisors,backing,DYNE Maritime,https://www.afr.com/companies/financial-services/aussie-sets-up-157m-fund-for-aukus-technology-20231025-p5eerq,.
Tidal McCoy,chair,Irongate Capital Advisors,https://www.irongatevc.com/team/,.
Tidal McCoy,former Assistan Secretary of the US Air Force under,Ronald Reagan,https://en.wikipedia.org/wiki/Tidal_W._McCoy,.
Tidal McCoy,Senior Vice President for Government Relations,Thiokol,https://en.wikipedia.org/wiki/Tidal_W._McCoy,.
Thiokol,bought out by,Northrop Grumman,https://en.wikipedia.org/wiki/Thiokol,.
Tidal McCoy,Trustee,Victims of Communism Memorial Foundation,https://victimsofcommunism.org/leader/honorable-tidal-w-mccoy/,.
Tidal McCoy,Trustee,The Institute of World Politics,https://en.wikipedia.org/wiki/Tidal_W._McCoy,.
Andrew Magliochetti,Managing Partner,Irongate Capital Advisors,https://www.irongatevc.com/team/,.
Ryan Morfin,Managing Partner,Irongate Capital Advisors,https://www.irongatevc.com/team/,.
Hamlet Yousef,Managing Partner,Irongate Capital Advisors,https://www.irongatevc.com/team/,.
Matthew Kibble,Business partner,Teddy Wasserman,https://www.afr.com/rear-window/diversa-s-disappearing-trick-20201209-p56lzc,.
Matthew Kibble,son of ,Simon Kibble,,.
KH Investment Trust,part of,Kibble Holdings,https://www.afr.com/companies/financial-services/new-york-financiers-pe-team-up-to-buysargon-businesses-20200501-p54oyo,.
Cloverhill Capital LLC,business of,Teddy Wasserman,https://www.afr.com/companies/financial-services/new-york-financiers-pe-team-up-to-buysargon-businesses-20200501-p54oyo,.
Pacific Infrastructure Partners,business of,Teddy Wasserman,,.
Pacific Infrastructure Partners,business of,Matthew Kibble,,.
Pacific Infrastructure Partners,aka ,WKV GROUP PTY LTD,,.
MSNKH INVESTMENTS PTY LIMITED,business of,Simon Kibble,,.
KIBBLE HOLDINGS TRUSTEE INFRASTRUCTURE I LLC,business of,Matthew Kibble,,.
CLOVERHILL S CAPITAL HOLDINGS LLC,business of,Teddy Wasserman,,.
MSNKH INVESTMENTS PTY LIMITED,member,WKV GROUP PTY LTD,,.
KIBBLE HOLDINGS TRUSTEE INFRASTRUCTURE I LLC,member,WKV GROUP PTY LTD,,.
CLOVERHILL S CAPITAL HOLDINGS LLC,member,WKV GROUP PTY LTD,,.
Matthew Kibble,chief executive,Australy International,https://www.afr.com/technology/silicon-valley-with-melbournes-best-networker-20160608-gpe6uw,
